,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,confirmedCountRank,suspectedCount,curedCount,deadCount,deadCountRank,deadRate,deadRateRank,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData,incrVo,showRank
168,1689758.0,1585104137000.0,1585104137000.0,,2,非洲,10,乍得,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,982003,TCD,Chad,https://file1.dxycdn.com/2020/0321/223/3403237656245986105-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
169,1689762.0,1585104137000.0,1585104137000.0,,2,非洲,10,安哥拉,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,984001,AGO,Angola,https://file1.dxycdn.com/2020/0322/522/3403423200980799144-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
170,1689765.0,1585104137000.0,1585104137000.0,,2,非洲,10,佛得角,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,982017,CPV,Cabo Verde,https://file1.dxycdn.com/2020/0322/642/3403423200980799173-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
171,1689769.0,1585104137000.0,1585104137000.0,,2,非洲,10,莫桑比克,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,984008,MOZ,Mozambique,https://file1.dxycdn.com/2020/0323/163/3403608739272894850-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
172,1689662.0,1585104137000.0,1585104137000.0,,2,非洲,10,苏丹,,,2,3,,0,0,1,,33.33,,,0.0,yuyb,981005,SDN,Sudan,https://file1.dxycdn.com/2020/0315/234/3402176442841870487-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
173,1689697.0,1585104137000.0,1585104137000.0,,2,非洲,10,冈比亚,,,2,3,,0,0,1,,33.33,,,0.0,yuyb,982005,GMB,Gambia,https://file1.dxycdn.com/2020/0320/124/3403052102921616068-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
174,1689757.0,1585104137000.0,1585104137000.0,,2,非洲,10,津巴布韦,,,2,3,,0,0,1,,33.33,,,0.0,yuyb,984013,ZWE,Zimbabwe,https://file1.dxycdn.com/2020/0321/166/3403237654098502435-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
175,1689420.0,1585104136000.0,1585104136000.0,,2,亚洲,10,不丹,,,2,2,,0,0,0,,0.00,,,0.0,yuyb,953002,BTN,Bhutan,https://file1.dxycdn.com/2020/0315/431/3402160508513085059-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
176,1689672.0,1585104137000.0,1585104137000.0,,2,非洲,10,毛里塔尼亚,,,2,2,,0,0,0,,0.00,,,0.0,yuyb,982012,MRT,Mauritania,https://file1.dxycdn.com/2020/0316/365/3402290519320312697-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
177,1689725.0,1585104137000.0,1585104137000.0,,2,北美洲,10,尼加拉瓜,,,2,2,,0,0,0,,0.00,,,0.0,yuyb,972006,NIC,Nicaragua,https://file1.dxycdn.com/2020/0320/114/3403052105069099819-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
