,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData
119,1160741.0,1584429696000.0,1584429696000.0,,2,非洲,10,肯尼亚,,,3,3,0,0,0,,0.0,chend,985005,KEN,Kenya,https://file1.dxycdn.com/2020/0317/555/3402535553647091609-135.json
120,1160749.0,1584429696000.0,1584429696000.0,,2,大洋洲,10,法属波利尼西亚,,,3,3,0,0,0,,0.0,chend,0,PYF,French Polynesia,https://file1.dxycdn.com/2020/0315/877/3402160512807875636-135.json
121,1160773.0,1584429696000.0,1584429696000.0,,2,北美洲,10,波多黎各,,,3,3,0,0,0,,0.0,chend,0,PRI,Puerto Rico,https://file1.dxycdn.com/2020/0317/609/3402535581564582783-135.json
122,1160800.0,1584429696000.0,1584429696000.0,,2,北美洲,10,圣巴泰勒米岛,,,3,3,0,0,0,,0.0,chend,0,BL,Saint Barthelemy,https://file1.dxycdn.com/2020/0317/743/3402535562237228754-135.json
123,1160265.0,1584429695000.0,1584429695000.0,,2,非洲,10,尼日利亚,,,2,2,0,0,0,,0.0,chend,982013,NGA,Nigeria,https://file1.dxycdn.com/2020/0315/705/3402160532135406075-135.json
124,1160654.0,1584429695000.0,1584429695000.0,,2,北美洲,10,洪都拉斯,,,2,2,0,0,0,,0.0,chend,972005,HND,Honduras,https://file1.dxycdn.com/2020/0315/610/3402160540725341073-135.json
125,1160738.0,1584429696000.0,1584429696000.0,,2,北美洲,10,特立尼达和多巴哥,,,2,2,0,0,0,,0.0,chend,974013,TTO,Trinidad & Tobago,https://file1.dxycdn.com/2020/0315/658/3402176490086085375-135.json
126,1160744.0,1584429696000.0,1584429696000.0,,2,北美洲,10,圣马丁岛,,,2,2,0,0,0,,0.0,chend,0,Saint Martin,Saint Martin,https://file1.dxycdn.com/2020/0315/871/3402160512808052481-135.json
127,1160758.0,1584429696000.0,1584429696000.0,,2,欧洲,10,泽西岛,,,2,2,0,0,0,,0.0,chend,0,JE,Jersey,https://file1.dxycdn.com/2020/0317/433/3402535555794575318-135.json
128,1160759.0,1584429696000.0,1584429696000.0,,2,非洲,10,纳米比亚,,,2,2,0,0,0,,0.0,chend,984009,NAM,Namibia,https://file1.dxycdn.com/2020/0316/301/3402290562270397787-135.json
129,1160801.0,1584429696000.0,1584429696000.0,,2,北美洲,10,库拉索岛,,,2,2,0,0,0,,0.0,chend,0,CW,Curaçao,https://file1.dxycdn.com/2020/0317/893/3402535572974445672-135.json
130,1160752.0,1584429696000.0,1584429696000.0,,2,北美洲,10,危地马拉,,,1,2,0,0,1,,0.0,chend,972004,GTM,Guatemala,https://file1.dxycdn.com/2020/0317/045/3402535547204640218-135.json
131,1160470.0,1584429695000.0,1584429695000.0,,2,亚洲,10,不丹,,,1,1,0,0,0,,0.0,chend,953002,BTN,Bhutan,https://file1.dxycdn.com/2020/0315/431/3402160508513085059-135.json
132,1160471.0,1584429695000.0,1584429695000.0,,2,欧洲,10,梵蒂冈,,,1,1,0,0,0,,0.0,chend,965017,VAT,Holy See,https://file1.dxycdn.com/2020/0315/719/3402160489185554691-135.json
133,1160478.0,1584429695000.0,1584429695000.0,,2,非洲,10,多哥,,,1,1,0,0,0,,0.0,chend,982016,TGO,Togo,https://file1.dxycdn.com/2020/0315/916/3402160508512908168-135.json
134,1160568.0,1584429695000.0,1584429695000.0,,2,亚洲,10,蒙古,,,1,1,0,0,0,,0.0,chend,0,MNG,Mongolia,https://file1.dxycdn.com/2020/0315/947/3402160536430373542-135.json
135,1160740.0,1584429696000.0,1584429696000.0,,2,非洲,10,加蓬,,,1,1,0,0,0,,0.0,chend,983004,GAB,Gabon,https://file1.dxycdn.com/2020/0317/439/3402535590154517967-135.json
136,1160745.0,1584429696000.0,1584429696000.0,,2,北美洲,10,圣巴泰勒米,,,1,1,0,0,0,,0.0,chend,0,Saint Barthelemy,,https://file1.dxycdn.com/2020/0315/092/3402160508512908125-135.json
137,1160747.0,1584429696000.0,1584429696000.0,,2,欧洲,10,直布罗陀,,,1,1,0,0,0,,0.0,chend,0,CIB,Gibraltar,https://file1.dxycdn.com/2020/0315/482/3402160529987745496-135.json
138,1160748.0,1584429696000.0,1584429696000.0,,2,欧洲,10,根西岛,,,1,1,0,0,0,,0.0,chend,0,GG,Guernsey,https://file1.dxycdn.com/2020/0317/462/3402535605186702216-135.json
139,1160756.0,1584429696000.0,1584429696000.0,,2,南美洲,10,苏里南,,,1,1,0,0,0,,0.0,chend,973010,SUR,Suriname,https://file1.dxycdn.com/2020/0317/931/3402535553647091547-135.json
