,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData,incrVo
52,1600406.0,1584941547000.0,1584941547000.0,,2,亚洲,10,黎巴嫩,,,233,245,0,8,4,,0.0,hejiashu,955012,LBN,Lebanon,https://file1.dxycdn.com/2020/0315/735/3402160529987745467-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
53,1600633.0,1584941547000.0,1584941547000.0,,2,欧洲,10,塞尔维亚,,,220,222,0,0,2,,0.0,hejiashu,965013,SRB,Serbia,https://file1.dxycdn.com/2020/0315/316/3402160534282712994-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
54,1600412.0,1584941547000.0,1584941547000.0,,2,欧洲,10,克罗地亚,,,200,206,0,5,1,,0.0,hejiashu,965005,HRV,Croatia,https://file1.dxycdn.com/2020/0315/154/3402160527840438555-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
55,1600474.0,1584941547000.0,1584941547000.0,,2,亚洲,10,亚美尼亚,,,188,190,0,2,0,,0.0,hejiashu,955002,ARM,Armenia,https://file1.dxycdn.com/2020/0315/583/3402160508513085016-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
56,1600641.0,1584941547000.0,1584941547000.0,,2,欧洲,10,斯洛伐克,,,184,185,0,0,1,,0.0,hejiashu,963007,SVK,Slovakia,https://file1.dxycdn.com/2020/0315/353/3402160510660391916-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
57,1600409.0,1584941547000.0,1584941547000.0,,2,亚洲,10,巴林,,,183,334,0,149,2,,0.0,hejiashu,955004,BHR,Bahrain,https://file1.dxycdn.com/2020/0315/852/3402160536430196734-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
58,1600644.0,1584941547000.0,1584941547000.0,,2,欧洲,10,保加利亚,,,181,187,0,3,3,,0.0,hejiashu,965004,BGR,Bulgaria,https://file1.dxycdn.com/2020/0315/249/3402160532135229245-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
59,1600414.0,1584941547000.0,1584941547000.0,,2,非洲,10,阿尔及利亚,,,172,201,0,12,17,,0.0,hejiashu,981001,DZA,Algeria,https://file1.dxycdn.com/2020/0315/112/3402160514955536226-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
60,1600408.0,1584941547000.0,1584941547000.0,,2,亚洲,10,科威特,,,158,188,0,30,0,,0.0,hejiashu,955011,KWT,Kuwait,https://file1.dxycdn.com/2020/0315/529/3402160514955359370-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
61,1600874.0,1584941547000.0,1584941547000.0,,2,南美洲,10,乌拉圭,,,158,158,0,0,0,,0.0,hejiashu,973011,URY,Uruguay,https://file1.dxycdn.com/2020/0317/992/3402535566531994277-135.json,"{'currentConfirmedIncr': 23, 'confirmedIncr': 23, 'curedIncr': 0, 'deadIncr': 0}"
62,1600407.0,1584941547000.0,1584941547000.0,,2,亚洲,10,伊拉克,,,156,233,0,57,20,,0.0,hejiashu,955008,IRQ,Iraq,https://file1.dxycdn.com/2020/0315/762/3402160510660568794-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
63,1600426.0,1584941547000.0,1584941547000.0,,2,欧洲,10,立陶宛,,,139,141,0,1,1,,0.0,hejiashu,964004,LTU,Lithuania,https://file1.dxycdn.com/2020/0315/774/3402160536430196722-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
64,1600563.0,1584941547000.0,1584941547000.0,,2,欧洲,10,拉脱维亚,,,139,139,0,0,0,,0.0,hejiashu,964003,LVA,Latvia,https://file1.dxycdn.com/2020/0315/786/3402160540725164137-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
65,1600636.0,1584941547000.0,1584941547000.0,,2,北美洲,10,哥斯达黎加,,,132,134,0,0,2,,0.0,hejiashu,972002,CRI,Costa Rica,https://file1.dxycdn.com/2020/0315/133/3402160534282889827-135.json,"{'currentConfirmedIncr': 17, 'confirmedIncr': 17, 'curedIncr': 0, 'deadIncr': 0}"
66,1600391.0,1584941547000.0,1584941547000.0,,2,其他,10,钻石公主号邮轮,,,130,712,0,574,8,,0.0,hejiashu,0,Princess,International conveyance (Diamond Princess),https://file1.dxycdn.com/2020/0315/381/3402160536430196671-135.json,"{'currentConfirmedIncr': -117, 'confirmedIncr': 0, 'curedIncr': 116, 'deadIncr': 1}"
67,1600473.0,1584941547000.0,1584941547000.0,,2,欧洲,10,圣马力诺,,,129,151,0,2,20,,0.0,hejiashu,965012,SMR,San Marino,https://file1.dxycdn.com/2020/0315/846/3402160508513085010-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
68,1600615.0,1584941547000.0,1584941547000.0,,2,欧洲,10,匈牙利,,,120,131,0,7,4,,0.0,hejiashu,963004,HUN,Hungary,https://file1.dxycdn.com/2020/0315/954/3402160538577857255-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
69,1600371.0,1584941547000.0,1584941547000.0,,2,亚洲,10,阿联酋,,,113,153,0,38,2,,0.0,hejiashu,955019,ARE,United Arab Emirates,https://file1.dxycdn.com/2020/0315/584/3402160508513084973-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
70,1600479.0,1584941547000.0,1584941547000.0,,2,欧洲,10,安道尔,,,112,114,0,1,1,,0.0,hejiashu,965002,AND,Andorra,https://file1.dxycdn.com/2020/0315/231/3402160534282712957-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
71,1600521.0,1584941547000.0,1584941547000.0,,2,亚洲,10,约旦,,,111,112,0,1,0,,0.0,hejiashu,955010,JOR,Jordan,https://file1.dxycdn.com/2020/0315/225/3402160532135229235-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
72,1600520.0,1584941547000.0,1584941547000.0,,2,非洲,10,摩洛哥,,,108,115,0,3,4,,0.0,hejiashu,981004,MAR,Morocco,https://file1.dxycdn.com/2020/0315/520/3402160510660391844-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
73,1600427.0,1584941547000.0,1584941547000.0,,2,大洋洲,10,新西兰,,,102,102,4,0,0,,0.0,hejiashu,990007,NZL,New Zealand,https://file1.dxycdn.com/2020/0315/194/3402160489185731566-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
74,1600363.0,1584941547000.0,1584941547000.0,,2,亚洲,9,越南,,,99,116,0,17,0,,0.0,hejiashu,952011,VNM,Vietnam,https://file1.dxycdn.com/2020/0315/607/3402160529987745446-135.json,"{'currentConfirmedIncr': 3, 'confirmedIncr': 3, 'curedIncr': 0, 'deadIncr': 0}"
75,1600648.0,1584941547000.0,1584941547000.0,,2,亚洲,10,塞浦路斯,,,94,95,0,0,1,,0.0,hejiashu,955005,CYP,Cyprus,https://file1.dxycdn.com/2020/0315/686/3402160529987745486-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
76,1600645.0,1584941547000.0,1584941547000.0,,2,欧洲,10,摩尔多瓦,,,92,94,0,1,1,,0.0,hejiashu,964005,MDA,Republic of Moldova,https://file1.dxycdn.com/2020/0315/234/3402160527840438516-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
77,1600865.0,1584941547000.0,1584941547000.0,,2,欧洲,10,法罗群岛,,,92,92,0,0,0,,0.0,hejiashu,0,FO,Faroe Islands,https://file1.dxycdn.com/2020/0315/071/3402160536430196701-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
78,1600617.0,1584941547000.0,1584941547000.0,,2,欧洲,10,波黑,,,91,92,0,0,1,,0.0,hejiashu,965003,BIH,Bosnia and Herzegovina,https://file1.dxycdn.com/2020/0315/908/3402160538577857266-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
79,1600423.0,1584941547000.0,1584941547000.0,,2,欧洲,10,北马其顿,,,85,85,0,0,0,,0.0,hejiashu,0,MKD,North Macedonia,https://file1.dxycdn.com/2020/0315/506/3402160514955536186-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
80,1600692.0,1584941547000.0,1584941547000.0,,2,亚洲,10,文莱,,,84,88,0,4,0,,0.0,hejiashu,952002,BRN,Brunei Darussalam,https://file1.dxycdn.com/2020/0315/199/3402160540725164222-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
81,1600367.0,1584941547000.0,1584941547000.0,,2,亚洲,10,柬埔寨,,,82,84,0,2,0,,0.0,hejiashu,952003,KHM,Cambodia,https://file1.dxycdn.com/2020/0315/664/3402160527840261727-135.json,"{'currentConfirmedIncr': -11, 'confirmedIncr': -11, 'curedIncr': 0, 'deadIncr': 0}"
82,1600369.0,1584941547000.0,1584941547000.0,,2,亚洲,10,斯里兰卡,,,80,81,0,1,0,,0.0,hejiashu,953007,LKA,Sri Lanka,https://file1.dxycdn.com/2020/0315/984/3402160532135406053-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
